GEO.id,GEO.id2,HC01_EST_VC02,HC02_EST_VC02
8600000US76527,76527,1374,44154
8600000US76530,76530,863,55398
8600000US76537,76537,1248,56186
8600000US76574,76574,6560,47585
8600000US76578,76578,609,65040
8600000US78610,78610,7987,83536
8600000US78617,78617,5414,43957
8600000US78626,78626,8612,58389
8600000US78628,78628,8814,82071
8600000US78633,78633,8564,75028
8600000US78634,78634,7471,69625
8600000US78640,78640,12626,63855
8600000US78641,78641,15567,64442
8600000US78642,78642,2981,70665
8600000US78645,78645,4090,70981
8600000US78652,78652,1748,77985
8600000US78664,78664,18566,60442
8600000US78665,78665,11427,84804
8600000US78676,78676,5296,63013
8600000US78681,78681,17433,92981
8600000US78701,78701,3534,68152
8600000US78702,78702,7967,34734
8600000US78703,78703,9062,92606
8600000US78704,78704,21082,50248
8600000US78717,78717,8576,93305
8600000US78721,78721,3999,32131
8600000US78722,78722,2939,44917
8600000US78723,78723,11173,41869
8600000US78725,78725,2135,52313
8600000US78726,78726,5364,66096
8600000US78727,78727,12723,65687
8600000US78728,78728,9586,47405
8600000US78729,78729,12400,57358
8600000US78731,78731,11983,78265
8600000US78733,78733,3133,124831
8600000US78735,78735,7131,74571
8600000US78736,78736,2872,84375
8600000US78738,78738,4174,126233
8600000US78739,78739,5429,126525
8600000US78741,78741,18727,30183
8600000US78744,78744,13157,41056
8600000US78745,78745,24206,49243
8600000US78746,78746,10808,125327
8600000US78748,78748,15536,65889
8600000US78749,78749,13975,80956
8600000US78751,78751,7715,38624
8600000US78752,78752,7140,33271
8600000US78753,78753,18127,39593
8600000US78756,78756,4260,59685
8600000US78757,78757,10528,55156
8600000US78758,78758,17525,41792
8600000US78759,78759,19935,65672
