GEO.id,GEO.id2,HC01_EST_VC02,HC02_EST_VC02
8600000US76527,76527,1511,44977
8600000US76530,76530,882,50463
8600000US76537,76537,1378,54479
8600000US76574,76574,6625,45011
8600000US76578,76578,634,57857
8600000US78610,78610,8431,79049
8600000US78617,78617,5628,45212
8600000US78626,78626,8797,57787
8600000US78628,78628,9320,80363
8600000US78633,78633,8936,74986
8600000US78634,78634,7878,73729
8600000US78640,78640,12959,64137
8600000US78641,78641,15625,71885
8600000US78642,78642,3008,75375
8600000US78645,78645,4254,73601
8600000US78652,78652,1845,76604
8600000US78664,78664,19304,61401
8600000US78665,78665,12075,85907
8600000US78676,78676,5363,66050
8600000US78681,78681,17655,92453
8600000US78701,78701,3737,86541
8600000US78702,78702,8234,36197
8600000US78703,78703,9542,80569
8600000US78704,78704,21214,50930
8600000US78717,78717,8616,93701
8600000US78721,78721,4017,33798
8600000US78722,78722,2993,50923
8600000US78723,78723,11547,42939
8600000US78725,78725,2376,52381
8600000US78726,78726,5477,67466
8600000US78727,78727,12341,69570
8600000US78728,78728,9543,48612
8600000US78729,78729,11891,60690
8600000US78731,78731,12157,75269
8600000US78733,78733,3108,122860
8600000US78735,78735,7144,79984
8600000US78736,78736,2719,84940
8600000US78738,78738,4443,118795
8600000US78739,78739,5537,128597
8600000US78741,78741,18780,30871
8600000US78744,78744,13063,41721
8600000US78745,78745,24542,50672
8600000US78746,78746,10825,128936
8600000US78748,78748,16172,66309
8600000US78749,78749,13975,84907
8600000US78751,78751,7604,39032
8600000US78752,78752,7259,34716
8600000US78753,78753,17919,38884
8600000US78756,78756,4237,59854
8600000US78757,78757,10659,57429
8600000US78758,78758,17526,43537
8600000US78759,78759,20120,66828
