GEO.id,GEO.id2,HC01_EST_VC02,HC02_EST_VC02
8600000US76527,76527,1419,49718
8600000US76530,76530,930,45521
8600000US76537,76537,1154,59609
8600000US76574,76574,6550,44114
8600000US76578,76578,641,65610
8600000US78610,78610,7408,82702
8600000US78617,78617,5109,44334
8600000US78626,78626,8690,58111
8600000US78628,78628,8866,81294
8600000US78633,78633,8345,72579
8600000US78634,78634,7026,69903
8600000US78640,78640,11887,62235
8600000US78641,78641,14428,67683
8600000US78642,78642,2853,66612
8600000US78645,78645,4384,68095
8600000US78652,78652,1556,79107
8600000US78664,78664,18569,62283
8600000US78665,78665,10534,88436
8600000US78676,78676,5223,68185
8600000US78681,78681,17153,89900
8600000US78701,78701,3208,63484
8600000US78702,78702,7889,35350
8600000US78703,78703,8820,85379
8600000US78704,78704,20749,47336
8600000US78717,78717,8276,94112
8600000US78721,78721,4069,30591
8600000US78722,78722,2834,44798
8600000US78723,78723,10954,41839
8600000US78725,78725,1956,53131
8600000US78726,78726,5583,66224
8600000US78727,78727,12770,63952
8600000US78728,78728,9523,46870
8600000US78729,78729,12021,61165
8600000US78731,78731,12117,80192
8600000US78733,78733,3091,119516
8600000US78735,78735,7152,74857
8600000US78736,78736,2716,85826
8600000US78738,78738,3998,121522
8600000US78739,78739,5134,132552
8600000US78741,78741,18386,30021
8600000US78744,78744,13306,39652
8600000US78745,78745,23970,48029
8600000US78746,78746,10802,129188
8600000US78748,78748,14812,66661
8600000US78749,78749,14035,79712
8600000US78751,78751,7736,37521
8600000US78752,78752,6988,33173
8600000US78753,78753,18496,40463
8600000US78756,78756,4115,59745
8600000US78757,78757,10612,54205
8600000US78758,78758,17440,42194
8600000US78759,78759,19960,65851
